frame.number,frame.time_relative,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len
371,4.042195000,192.168.2.99,192.168.2.20,56806,1935,174
372,4.042334000,192.168.2.20,192.168.2.99,1935,56806,72
373,4.042413000,192.168.2.20,192.168.2.99,1935,56806,90
374,4.055570000,192.168.2.20,192.168.2.20,37432,1935,80
375,4.055652000,192.168.2.20,192.168.2.20,1935,37432,72
376,4.055689000,192.168.2.20,192.168.2.20,37432,1935,12745
377,4.055750000,192.168.2.20,192.168.2.20,1935,37432,72
378,4.055781000,192.168.2.20,192.168.2.20,37432,1935,15620
379,4.055816000,192.168.2.20,192.168.2.20,1935,37432,72
380,4.088561000,192.168.2.20,192.168.2.20,37432,1935,80
381,4.088665000,192.168.2.20,192.168.2.20,1935,37432,72
382,4.088705000,192.168.2.20,192.168.2.20,37432,1935,3859
383,4.088738000,192.168.2.20,192.168.2.20,1935,37432,72
384,4.088765000,192.168.2.20,192.168.2.99,1935,56806,1520
385,4.121923000,192.168.2.20,192.168.2.20,37432,1935,80
386,4.122065000,192.168.2.20,192.168.2.20,1935,37432,72
387,4.122129000,192.168.2.20,192.168.2.20,37432,1935,2598
388,4.122195000,192.168.2.20,192.168.2.20,1935,37432,72
389,4.142642000,192.168.3.99,192.168.3.20,1935,56806,72
390,4.143634000,192.168.3.99,192.168.3.20,1935,56806,90
391,4.155927000,192.168.2.20,192.168.2.20,37432,1935,80
392,4.156022000,192.168.2.20,192.168.2.20,1935,37432,72
393,4.156054000,192.168.2.20,192.168.2.20,37432,1935,3225
394,4.156090000,192.168.2.20,192.168.2.20,1935,37432,72
395,4.183862000,192.168.3.20,192.168.3.99,56806,1935,72
396,4.189569000,192.168.2.20,192.168.2.20,37432,1935,80
397,4.189568000,192.168.3.99,192.168.3.20,1935,56806,1520
398,4.189642000,192.168.3.20,192.168.3.99,56806,1935,72
399,4.189650000,192.168.2.20,192.168.2.20,1935,37432,72
400,4.189685000,192.168.2.20,192.168.2.20,37432,1935,4923
401,4.189730000,192.168.2.20,192.168.2.99,1935,56806,1520
402,4.189763000,192.168.2.20,192.168.2.20,1935,37432,72
403,4.189803000,192.168.2.20,192.168.2.20,37432,1935,35988
404,4.189874000,192.168.2.20,192.168.2.20,1935,37432,72
405,4.222303000,192.168.2.20,192.168.2.20,37432,1935,80
406,4.222431000,192.168.2.20,192.168.2.20,1935,37432,72
407,4.222496000,192.168.2.20,192.168.2.20,37432,1935,7195
408,4.222588000,192.168.2.20,192.168.2.20,1935,37432,72
409,4.255193000,192.168.2.20,192.168.2.20,37432,1935,80
410,4.255296000,192.168.2.20,192.168.2.20,1935,37432,72
411,4.255343000,192.168.2.20,192.168.2.20,37432,1935,2939
412,4.255385000,192.168.2.20,192.168.2.20,1935,37432,72
413,4.255422000,192.168.2.20,192.168.2.99,1935,56806,1520
414,4.285076000,192.168.2.99,192.168.2.20,56806,1935,72
