"No.","Time","Source","Destination","Protocol","Length","Info"
"2802","18.668221","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4042062 Win=126208 Len=0 TSval=637874752 TSecr=637874752"
"2803","18.668254","192.168.2.20","192.168.2.20","RTMP","14081","Audio Data|Audio Data|Video Data"
"2804","18.668336","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4056071 Win=126208 Len=0 TSval=637874752 TSecr=637874752"
"2805","18.670505","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3227919 Win=1426688 Len=0 TSval=637874755 TSecr=637874714"
"2806","18.670539","192.168.2.20","192.168.2.20","RTMP","14089","Audio Data|Audio Data|Video Data"
"2807","18.708203","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4056071 Ack=3483 Win=79744 Len=8 TSval=637874792 TSecr=637874752"
"2808","18.708277","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4056079 Win=126208 Len=0 TSval=637874792 TSecr=637874792"
"2809","18.708301","192.168.2.20","192.168.2.20","RTMP","4031","Audio Data|Video Data"
"2810","18.708327","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4060038 Win=126208 Len=0 TSval=637874792 TSecr=637874792"
"2811","18.711495","192.168.2.20","192.168.2.20","TCP","72","41602  >  1935 [ACK] Seq=3461 Ack=3241936 Win=1412864 Len=0 TSval=637874796 TSecr=637874755"
"2812","18.711519","192.168.2.20","192.168.2.20","RTMP","4039","Audio Data|Video Data"
"2813","18.748402","192.168.2.20","192.168.2.20","TCP","80","39862  >  1935 [PSH, ACK] Seq=4060038 Ack=3483 Win=79744 Len=8 TSval=637874832 TSecr=637874792"
"2814","18.748471","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4060046 Win=126208 Len=0 TSval=637874832 TSecr=637874832"
"2815","18.748491","192.168.2.20","192.168.2.20","RTMP","776","Audio Data|Audio Data"
"2816","18.748517","192.168.2.20","192.168.2.20","TCP","72","1935  >  39862 [ACK] Seq=3483 Ack=4060750 Win=126208 Len=0 TSval=637874833 TSecr=637874833"
"2817","18.748535","192.168.2.20","192.168.2.20","TCP","8274","39862  >  1935 [PSH, ACK] Seq=4060750 Ack=3483 Win=79744 Len=8202 TSval=637874833 TSecr=637874833"
